,hsa-mir-202,hsa-mir-6879,hsa-mir-3150b,hsa-mir-329-2,hsa-mir-5690,hsa-mir-4802,hsa-mir-539,hsa-mir-410,hsa-mir-135a-1,hsa-mir-6718
hsa-mir-202,1.0,0.005301795424123248,0.02649776416832208,0.008738219274584605,0.05891764267328685,-0.014551890277837437,0.007512967995420163,0.000891956678362127,-0.010487718562284708,0.0051404899346570295
hsa-mir-6879,0.005301795424123248,1.0,0.0557067748978763,-0.00745482114547871,0.013133663360394598,0.00045064056860821084,0.00804314555182148,0.002943110060974915,0.04576603403337399,0.06236076275194648
hsa-mir-3150b,0.02649776416832208,0.0557067748978763,1.0,0.006022015035973118,0.10848226904861925,0.07274684007986311,0.00591427116472895,-0.0004266644520567093,-0.03261114051429001,0.003221602151456754
hsa-mir-329-2,0.008738219274584605,-0.00745482114547871,0.006022015035973118,1.0,-0.05233132719270007,0.020302465727084464,0.7655630039964653,0.8456853101971398,0.0903397442408286,-0.015056822152109416
hsa-mir-5690,0.05891764267328685,0.013133663360394598,0.10848226904861925,-0.05233132719270007,1.0,0.04961732605262598,-0.037915586040517826,-0.06908967256929718,0.057651162576250276,0.015827083822580065
hsa-mir-4802,-0.014551890277837437,0.00045064056860821084,0.07274684007986311,0.020302465727084464,0.04961732605262598,1.0,9.960653837549219e-05,0.019300873960192498,-0.0007029228196186637,-0.025982557301306795
hsa-mir-539,0.007512967995420163,0.00804314555182148,0.00591427116472895,0.7655630039964653,-0.037915586040517826,9.960653837549219e-05,1.0,0.8017641890212724,0.06260978586176093,-0.015517078412916248
hsa-mir-410,0.000891956678362127,0.002943110060974915,-0.0004266644520567093,0.8456853101971398,-0.06908967256929718,0.019300873960192498,0.8017641890212724,1.0,0.07159192277801163,-0.012887766494896908
hsa-mir-135a-1,-0.010487718562284708,0.04576603403337399,-0.03261114051429001,0.0903397442408286,0.057651162576250276,-0.0007029228196186637,0.06260978586176093,0.07159192277801163,1.0,0.0013060133413755693
hsa-mir-6718,0.0051404899346570295,0.06236076275194648,0.003221602151456754,-0.015056822152109416,0.015827083822580065,-0.025982557301306795,-0.015517078412916248,-0.012887766494896908,0.0013060133413755693,1.0
