,hsa-mir-202,hsa-mir-4802,hsa-mir-466,hsa-mir-6718,hsa-mir-410,hsa-mir-329-2,hsa-mir-5690,hsa-mir-4492,hsa-mir-770,hsa-mir-3150b
hsa-mir-202,1.2483614147910196,-0.023908569405108687,-0.0030176815072800443,0.0012601919036920308,0.0021533563288923282,0.005503821478606375,0.03919895309393462,0.060896849012892794,-0.017163859555914544,0.019569991947893366
hsa-mir-4802,-0.023908569405108687,0.9718165626258976,0.09134548781256309,-0.022631115464654298,0.04792817373947638,0.02582203830901858,0.05005666427877402,0.03910777646242281,0.041170574257243464,0.06817517951051878
hsa-mir-466,-0.0030176815072800443,0.09134548781256309,0.9892767377455616,-0.019921392009253216,-0.05802582067059315,-0.05187232739878402,0.11898624621082855,-0.009016221672390865,-0.049840614845340574,0.005440303803655701
hsa-mir-6718,0.0012601919036920308,-0.022631115464654298,-0.019921392009253216,1.2464529205752515,-0.018239938896129387,-0.01939219638419969,0.008818012486768929,0.05917488119913539,-0.012113530370340402,-0.0006588712073290028
hsa-mir-410,0.0021533563288923282,0.04792817373947638,-0.05802582067059315,-0.018239938896129387,1.0698591983895087,0.9146926150485573,-0.06090858362742867,0.06852793105299579,0.8110015306248112,-0.006854490236501644
hsa-mir-329-2,0.005503821478606375,0.02582203830901858,-0.05187232739878402,-0.01939219638419969,0.9146926150485573,1.0789913204245538,-0.025655016489871108,0.006089567773615027,0.904198937147505,0.0028015754865671058
hsa-mir-5690,0.03919895309393462,0.05005666427877402,0.11898624621082855,0.008818012486768929,-0.06090858362742867,-0.025655016489871108,1.0187526815227594,0.030799870908078824,-0.019981773137333066,0.13285687182964687
hsa-mir-4492,0.060896849012892794,0.03910777646242281,-0.009016221672390865,0.05917488119913539,0.06852793105299579,0.006089567773615027,0.030799870908078824,1.1266063370115849,0.04086463054014958,-0.024494506470893563
hsa-mir-770,-0.017163859555914544,0.041170574257243464,-0.049840614845340574,-0.012113530370340402,0.8110015306248112,0.904198937147505,-0.019981773137333066,0.04086463054014958,1.1411429450623976,0.010730965589198685
hsa-mir-3150b,0.019569991947893366,0.06817517951051878,0.005440303803655701,-0.0006588712073290028,-0.006854490236501644,0.0028015754865671058,0.13285687182964687,-0.024494506470893563,0.010730965589198685,1.168380531425466
