,hsa-mir-3941,hsa-mir-187,hsa-mir-202,hsa-mir-3150b,hsa-mir-4461,hsa-mir-539,hsa-mir-496,hsa-mir-329-2,hsa-mir-135a-1,hsa-mir-410
hsa-mir-3941,0.9976239439391169,0.07748372774532873,-0.016121824071236752,0.10666606969428129,0.11156689047537414,0.08815265561064939,0.04845769466416359,0.03147156740001483,-0.04279726961842871,0.03398704678483412
hsa-mir-187,0.07748372774532873,1.092380641750066,-0.019746302098068144,0.10627252629821361,0.008303040606025117,0.08994102203484454,0.07803396468703282,0.05849059098257492,-0.02597262234937248,0.0560473829868754
hsa-mir-202,-0.016121824071236752,-0.019746302098068144,1.247473542182048,0.019038558112943287,-0.01497168165512433,0.004936676122156518,-0.0038522713502364913,0.0039429159267361374,0.022827562834222544,0.001094985770375198
hsa-mir-3150b,0.10666606969428129,0.10627252629821361,0.019038558112943287,1.0343261762636706,-0.009328599314938275,0.008473795345814855,0.0007629409907550731,-0.010359730270136092,-0.009353389155422234,-0.004101732771238767
hsa-mir-4461,0.11156689047537414,0.008303040606025117,-0.01497168165512433,-0.009328599314938275,1.1896948153330447,-0.017775839624156305,-0.00924107537335247,-0.006254004386257988,-0.0071249755173286335,-0.01453126909949082
hsa-mir-539,0.08815265561064939,0.08994102203484454,0.004936676122156518,0.008473795345814855,-0.017775839624156305,1.0242441178088613,0.8730917529316545,0.778139108772929,0.06671132388807255,0.7841699797254393
hsa-mir-496,0.04845769466416359,0.07803396468703282,-0.0038522713502364913,0.0007629409907550731,-0.00924107537335247,0.8730917529316545,1.0711384111909146,0.8615879380552726,0.09930757509201844,0.9208209220307524
hsa-mir-329-2,0.03147156740001483,0.05849059098257492,0.0039429159267361374,-0.010359730270136092,-0.006254004386257988,0.778139108772929,0.8615879380552726,0.9152719142584353,0.10654113827915941,0.7961358822964651
hsa-mir-135a-1,-0.04279726961842871,-0.02597262234937248,0.022827562834222544,-0.009353389155422234,-0.0071249755173286335,0.06671132388807255,0.09930757509201844,0.10654113827915941,1.1608620499392663,0.08522427697322678
hsa-mir-410,0.03398704678483412,0.0560473829868754,0.001094985770375198,-0.004101732771238767,-0.01453126909949082,0.7841699797254393,0.9208209220307524,0.7961358822964651,0.08522427697322678,0.9862922167461673
