,hsa-mir-202,hsa-mir-3065,hsa-mir-10a,hsa-mir-3678,hsa-mir-4999,hsa-mir-1304,hsa-mir-4802,hsa-mir-3690-1,hsa-mir-5690,hsa-mir-3654
hsa-mir-202,1.0,-0.007258228259270236,-0.015077709444293957,0.023491105883794165,0.024645404953142522,0.06710064000147914,-0.014551890277837437,0.031927956719253664,0.05891764267328685,-0.021902656570731874
hsa-mir-3065,-0.007258228259270236,1.0,-0.03251469832294804,0.058432268468626224,-0.012556034454623983,-0.03815868984904688,-0.009971503729805863,0.008944477208820465,-0.03649740512258253,-0.03879116651121578
hsa-mir-10a,-0.015077709444293957,-0.03251469832294804,1.0,0.03428503771376227,-0.08570157584371291,-0.004420055509747199,-0.036724868250364626,-0.05476856691659889,-0.05606007584990381,-0.03913321085841947
hsa-mir-3678,0.023491105883794165,0.058432268468626224,0.03428503771376227,1.0,0.10198835462371697,-0.007987723961280554,0.03163951051890842,0.061477857902896546,0.008681163067943583,0.06735302006980673
hsa-mir-4999,0.024645404953142522,-0.012556034454623983,-0.08570157584371291,0.10198835462371697,1.0,-0.01052886012982737,-0.0021898672335243967,0.027135942524734502,0.0028755103886749134,0.03412416301820599
hsa-mir-1304,0.06710064000147914,-0.03815868984904688,-0.004420055509747199,-0.007987723961280554,-0.01052886012982737,1.0,0.0023471801792302274,0.011779759282226063,-0.0023429076656346064,0.04010207326209255
hsa-mir-4802,-0.014551890277837437,-0.009971503729805863,-0.036724868250364626,0.03163951051890842,-0.0021898672335243967,0.0023471801792302274,1.0,0.05131314190936644,0.04961732605262599,0.06604036472184581
hsa-mir-3690-1,0.031927956719253664,0.008944477208820465,-0.05476856691659889,0.061477857902896546,0.027135942524734502,0.011779759282226063,0.05131314190936644,1.0,0.018537706606854495,0.01881980134358286
hsa-mir-5690,0.05891764267328685,-0.03649740512258253,-0.05606007584990381,0.008681163067943583,0.0028755103886749134,-0.0023429076656346064,0.04961732605262599,0.018537706606854495,1.0,-0.04207288743954307
hsa-mir-3654,-0.021902656570731874,-0.03879116651121578,-0.03913321085841947,0.06735302006980673,0.03412416301820599,0.04010207326209255,0.06604036472184581,0.01881980134358286,-0.04207288743954307,1.0
